text,SEXISM
صلاة الفجر خير لك من ترديد بول البعير وسبي النساء واغتصاب طفلة نظافة ونشاط وحيوية #عقلانيون,1
صراحة نفسي اشوف ولاد الوسخة اللي قالوا مدرب اجنبي منك لله ربنا ياخدك ي… @url,0
طيب! هي متبرجة وعبايتها ملونه وطالعة من بيتهم بدون ....... @url,0
@user @user انا اوافقك بخصوص السوريين و العراقيين اما بخصوص السعودي مو بحاجه انه يقعد بالكويت بدو… @url,0
هذه السعودية التي شعبها شعب الخيم و بول البعير  الذي يستهزأ بها الناس,0
ما عارف كنت شايفها منحرفة شديد وانا صغير ليه @url,1
@user @user تخيل يرد عليك يقولك حسب معلوماتنا ان سكان الارض يشربون بول البعير,0
صباح التوكل على الله والسعي على رزقه والثقة فيما عنده #افريقيا_يا_اهلى,0
وانتي مال امك يا مطلقة يا بايرة ياوش قنوات @url,1
@user @user الكردي كلب من يوم يومه بحاجة دائما لسيد وهلا اصبحتم خنازير اسرائيل بمرتبة الكلب,0
@user و مدعمتهاش ليه فى كاس العالم يا جبان يا وسخ,0
خنازير فعلت فعلاً ..,0
لكن حرمة متبرجة تقف على المسرح وتغني امام الر… @url,1
@user @user ابن سلمان ابن ملك  بن ملك معروف من جد من لاب ومن الام رجال قهر خنازير المجوس وذنابها.… @user,0
ي قصارية ي بايرة,0
يارب انصرنا #افريقيا_يا_اهلي,0
@user @user @user واضح انكم تكذبوها ع سالفه ان الحريم يقعدن بالارض  ولا انا فهمت غلط ودرعمت؟,1
واحده بايره,0
@user @user اعراب همج. ايش تتوقع من شاربين بول البعير,0
زمان كان الرجال فوق الخيل والحريم يتفرجون والان صا… @url,0
@user @user انت اكبر المشردين بايع ارضك وعرضك وتتكلم على اسيادك السعودية  ي كلب ي مرتزق ي خنزير,0
جواب على متدخل من الحسيمة...فقد صوابه و بدأ يتكلم عن بول البعير..و  عن رحيل احباب العربية..لا اعرف اين؟ هل الى اورو… @user,0
@user @user @user كتب الشيعة تطفح بروايات شرب بول البعير عن الصادق والكاظم أنتي قاعده تسبين الصا… @url,0
@user @user @user @user يا شارب بول البعير روح خذ لك كاس بول بعير مصفى وأشربوا على شرف إللي ما عودو شرف بن خرفان,0
الصور العارية واجسام البنات ومقاطع منحرفة ، ستشهد عليها الاصابع يوم القيامة ، كفاكم استهانة قالجنة اغلى,1
@user @user @user يعني مش هيك بعبرو عن التحرش الجنسي بلبنان,0
@user @user صح لسانك بس الكلب وفي وهذا خنزير نتن,0
@user @user @user أمك وأختك هي بنت 100 خنزير يا شاربي بول البعير يا متخلفون,0
@user @user والضرب في كسمك حلال مفيش حد يقدر يغلب مصري في الكلال كسمك ع كسمه ي شواذ ي ولاد الوسخة بتشك… @url,0
@user @user نظف من النظافه مش نضف. وين دارس؟ مش عيب اللي بشرب بول البعير يعلمك ولو,0
@user @user @user يازلمي أنت شو بتتعاطى. على الأرجح بول البعير,0
@user هذا لو كان عندهم عقل يفكروا به . بول البعير  جعلهم كالبهاءم,0
@user @user @user كمن فسر الماء بالماء.. ياغبي العالم كله عرف انكم خنازير مو بس السعوديين.. رح الشبك… @url,0
@user @user كلهم خنازير المجوس,0
@user هذا الكلب راضع من خنزير   هو مهندس السقوط النصراوي في الدوري,0
@user @user اتذكر اول كنا ندرب الاطفال اللوكيميا كيف الدفاع عن النفس في حاله التحرش واخذنا انذارات وهوشه بسبب انن… @url,0
اللي يدخل في بيئه وسخه يتحمل عواقبها لحد ما يسير وسخ زيهم .,0
وحدة مناهضة التحرش والعنف ضد المرأة,1
والله هندوس ع وش اللي جابوهم السبت,0
@user ياشارب بول البعير العباسيين هم الهاشميين,0
بهيم الشاذ امه عاهره والده ديوث العائله كلها مشقوقه شق @url,0
صحيح ، يوم كان علمنا ينير الأرض ويحسبه الأغبياء سحراً ، الإسلام سمح ببول البعير فقط في التداوي وهذا ما صدقه العلم ا… @url,0
@user @user اي احترام يا الخنزيره والمجوس انتم من هدم حترام الدول والان ذوقو ما تذوقه الناس منكم يا خناز… @user,0
@user let guess اللاجئون السوريون؟,0
والله لو بس تتركون بول البعير راح تصحون على نفسكم @url,0
معا لحماية أطفالنا من التحرش الجنسي @url,0
@user لإن التحرش وسيلة ردع للإناث عن أنهم يخرجوا عن سطوة وسيطرة الجنس الاعلي,1
