text,SEXISM
rt @user personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient inculq,0
@user @user @user bah oui t'as raison l'autre c'est un mongol.,0
moi j'ai personne à qui m'adresser pour réclamer. le voisin c'est un attardé puant et bruyant dans les administrat… @url,0
@user @user c...est vrai que les anchois sont aller sur la lune et invente de million de technologie !,0
eh les renois faut se réveiller la @url,0
@user @user en algerie les migrants sont expulsés dans le désert je crois bien qu'ils ont une autre vision… @url,0
@user sjw et féministe twitter un sale combo,0
@user @user tu sais aussi pourquoi est au dessus ? parce que si veut demain bah ya plus d'ani... @url,0
@user @user mytho t'as juste voulu te faire ken par les renois de ton lycée ils ont pas voulu de to… @url,0
c’est un giga attardé mdrrr ils va vraiment se faire shoote @url,0
#duisburg 4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu’elle p… @url,0
@user dekoi tu parle jte dis ta ps honte de dire half black lieu de half pakpak attardé,0
nous aussi nous luttons contre le colonialisme en l'occurrence la colonisation de peuplement africaine et arabo-mu… @url,0
@user @user @user alors pas du tous toi tu es vraiment attardé,0
@user sale arabe ( arrête avec tes hontes toi ),0
le « sale juif » mis en avant contrairement aux autres mdr #lejouroujaibrulemoncoeur,0
@user ohhh la violence je meuuurs,0
au vu de cette simple declaration difficile de savoir si affaire un neo-nazi un gauchiste ou un islamiste. @url,0
@user ce qui est une offense au terrorisme c'est de voir nos dirigeants qui ne font rien quant à la montée… @url,0
glik tu es un gros mongol,0
@user quel mongol ils n'ont qu'à pas donner des salaires monstrueux au moindre joueur de merde qui vient,0
@user @user @user arrete de t'enerver t'es pas crédible dirait un gros con de gamin attardé je voi… @url,0
irl une gauchiste bobo anti-raciste : « quand je lis @user ou @user de part leurs provocations i… @url,0
@user t’a vu gl dirait un attardé...,0
forum islam: au nom de la lutte contre le séparatisme et le terrorisme l'etat chinois entreprend la désislamisati… @url,0
@user @user @user donne toujours le sale boulot à l arabe de service et ces énergumènes se sentent intégrés,0
@user les renois c'est les premiers à tailler les rebeus mais quand nous les tacle pour rigoler ils sorten… @url,0
@user tu te crois intelligent avec ta réflexion facebook d'attardé ?,0
rt @user c'est con un gauchiste quand meme !!! @url,0
shoutout les daronnes rebeus avec leurs fils adorés @url,0
@user @user l'empire mongol,0
@user @user @user et vous vous êtes contres la pma pour tout le monde et contre l’avortement. el… @url,0
@user pour ou contre l'avortement ?,0
bordel y'a un sale arabe d'algerien qui insulte mère de pute parce que je l'ai supprimé de snap après qu'il m'ai… @url,0
@user @user leur violence contre l'ivg les homosexuels le mariage pour tous est largement cobdamnabl… @url,0
@user @user @user d'autant plus bizarre que flavius josèphe est resté juif jusqu'au bout des ongles.,0
quand je sors de chez le coiffeur j’suis vraiment le plus beau de tous les rebeus,0
@user @user @user @user @user @user @user la vraie violence c’est de force… @url,0
